stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Ciecholub;54.172778;16.888056;0;0;0;0;0;0;8;0;0
Ciecierzyn;51.319722;22.608889;0;0;0;0;0;0;10;0;0
Ciecina;49.6017085;19.1408235;0;0;0;0;23;0;0;0;0
Ciecina Dolna;49.621944;19.152778;0;0;0;0;23;0;0;0;0
Cieksyn;52.5775;20.665833;0;0;8;0;0;0;0;0;0
Cienin;52.272222;17.968611;0;0;0;16;0;0;0;0;0
Cienin Koœcielny;52.269444;18.019722;0;0;0;16;0;0;0;0;0
Cieplewo;54.234722;18.6475;0;0;0;0;0;0;24;0;0
Cierpice;52.988611;18.470278;2;0;0;0;0;0;19;0;0
Cierpigórz;52.226525;22.594242;0;0;6;0;0;0;2;0;0
Cieszków;51.633333;17.35;0;0;0;0;0;0;3;0;0
Cieszyn;49.751028;18.637194;0;0;0;0;3;0;0;0;0
Cieszyn Marklowice;49.785333;18.60375;0;0;0;0;6;0;0;0;0
Cieszyno £obeskie;53.520556;15.468889;0;0;0;0;0;0;18;0;0
Cikowice;49.983611;20.383889;0;0;0;0;0;0;26;0;0
Cisie;52.209722;21.390833;0;0;60;0;0;0;0;0;0
Cisiec;49.583611;19.105556;0;0;0;0;23;0;0;0;0
Cmolas;50.293611;21.752056;0;0;0;0;0;0;9;0;0
Cybowo;53.293056;15.815833;0;0;0;0;0;0;9;0;0
Cygany;50.513222;21.696083;0;0;0;0;0;0;9;0;0
Czachówek Górny;51.968333;21.077222;0;0;44;0;0;0;0;0;0
Czachówek Po³udniowy;51.961389;21.080556;0;0;49;0;0;0;0;0;0
Czachówek Wschodni;51.973056;21.103056;0;0;13;0;0;0;0;0;0
Czaplinek;53.5375;16.238611;0;0;0;0;0;0;9;0;0
Czarlin;54.049444;18.7675;0;0;0;0;0;0;18;0;0
Czarna Bia³ostocka;53.305436;23.279439;0;0;0;0;0;2;12;0;0
Czarna Tarnowska;50.060278;21.248611;0;0;0;0;0;1;19;0;0
Czarna Woda;53.84455;18.09998;0;0;0;0;0;0;17;0;0
Czarnca;50.823611;19.945556;0;0;0;0;0;0;12;0;0
Czarne;53.68;16.937778;0;0;0;0;0;0;6;0;0
Czarne Ma³e;53.5575;16.319722;0;0;0;0;0;0;7;0;0
Czarnobór;53.699722;16.766944;0;0;0;0;0;0;6;0;0
Czarnocin;51.592306;19.722778;0;0;0;0;0;0;19;0;0
Czarnowêsy Pomorskie;53.939167;15.981389;0;0;0;0;0;0;8;0;0
Czarny Blok;53.248611;23.209722;0;0;0;0;0;0;7;0;0
Czastary;51.274167;18.336667;0;0;0;0;0;0;2;0;0
Czechowice Dz.;49.915278;19.003056;0;0;0;0;38;10;4;0;0
Czechowice Dz. PO;;;0;0;0;0;28;0;0;0;0
Czechowice Dziedzice P³d.;49.9016056;18.9917676;0;0;0;0;28;0;0;0;0
Czechowizna;53.35075;22.837778;0;0;0;0;0;0;6;0;0
Czekanów;51.685833;17.861944;0;0;0;0;0;0;10;0;0
Czeluœcin;51.728333;17.161944;0;0;0;6;0;0;0;0;0
Czempiñ;52.139444;16.752778;0;0;0;0;0;0;22;0;0
Czepino;53.281472;14.513806;0;0;0;0;0;0;9;0;0
Czeremcha;52.517997;23.353844;0;0;3;0;0;0;8;0;0
Czermno;52.863889;19.436944;2;0;0;0;0;0;0;0;0
Czerna;51.690556;15.92;0;0;0;0;0;0;13;0;0
Czerna Ma³a;51.23;16.803056;0;0;0;0;0;0;21;0;0
Czernica Wroc³awska;51.049722;17.238889;0;0;0;0;0;0;17;0;0
Czerniewice;52.508889;19.089444;10;0;0;0;0;0;2;0;0
Czernikowo;52.939167;18.952222;2;0;0;0;0;0;0;0;0
Czersk;53.800833;17.972222;6;0;0;0;0;0;17;0;0
Czersk Œwiecki;53.551111;18.468056;6;0;0;0;0;0;0;0;0
Czeruchy;52.936667;20.505556;0;0;15;0;0;0;0;0;0
Czerwieñsk;52.015;15.411944;0;0;0;0;0;0;16;0;0
Czerwionka;50.149167;18.684444;0;0;0;0;21;0;0;0;0
Czerwionka Dêbieñsko;50.156667;18.664722;0;0;0;0;21;0;0;0;0
Czerwonak;52.468333;16.979444;0;0;0;17;0;0;0;0;0
Czerwonak Osiedle;52.479722;16.977778;0;0;0;16;0;0;0;0;0
Czerwonka;53.909167;20.908056;0;0;0;0;0;0;13;0;0
Czeska Wieœ;50.758333;17.458889;0;0;0;0;0;0;6;0;0
Czes³awice;51.305556;22.265278;0;0;0;0;0;0;16;0;0
Czudec;49.94;21.830556;0;0;0;0;0;0;4;0;0
Czuprynowo;53.4744;23.632639;0;0;0;0;0;0;7;0;0
Czy¿ew;52.798722;22.339528;0;0;0;0;0;17;1;0;0
Czêstochowa;50.808728;19.119292;0;0;0;0;23;20;23;0;0
Czêstochowa Anio³ów;50.835333;19.151589;0;0;0;0;0;0;25;0;0
Czêstochowa Raków;50.78775;19.155417;0;0;0;0;45;0;16;0;0
Cz³uchów;53.6575;17.371111;0;0;0;0;0;0;6;0;0
Dabrowice Skier;52.1998987;20.7211475;0;0;0;0;0;0;23;0;0
Dalanówek;52.594444;20.462778;0;0;8;0;0;0;0;0;0
Dalekie;52.6825;21.494722;0;0;18;0;0;0;0;0;0
Daleszewo Gryfiñskie;53.305844;14.528819;0;0;0;0;0;0;9;0;0
Dalêcino;53.749167;16.611111;0;0;0;0;0;0;10;0;0
Damnica;54.497778;17.27;0;0;0;0;0;4;0;16;0
Daniszyn;51.667222;17.616111;0;0;0;6;0;0;0;0;0
Dankowice;49.936944;19.081944;0;0;0;0;12;0;0;0;0
Daszewo;54.077778;15.876389;0;0;0;0;0;0;11;0;0
Deszczno;52.671256;15.307333;0;0;0;0;0;0;8;0;0
Dobczyn;52.378889;21.313333;0;0;63;0;0;0;0;0;0
Dobiegniew;52.968056;15.747222;0;0;0;0;0;18;12;0;0
Dobieszyn;51.630556;21.176667;0;0;38;0;0;0;0;0;0
Dobino Wa³eckie;53.226667;16.525833;0;0;0;0;0;0;8;0;0
Dobre Miasto;53.9841;20.384264;0;0;0;0;0;0;4;0;0
Dobrocin;53.910278;19.831389;0;0;0;0;0;0;12;0;0
Dobroszyce;51.27;17.3625;0;0;0;0;0;0;11;0;0
Dobroszyce k. Radomska;51.132077;19.448862;0;0;0;0;0;0;22;0;0
Dobrowoda;52.561778;23.391833;0;0;0;0;0;0;4;0;0
Dobroñ PODS;51.919438;19.145136;0;0;0;0;0;0;30;0;0
Dobrynka;51.998611;23.443056;0;0;0;0;0;0;13;0;0
